Image Name,Height,Width,Ratio
ffhq_2027.png,2.0,7.0,3.5
ffhq_2032.png,3.64,10.198,2.802
ffhq_2037.png,3.041,9.055,2.977
ffhq_2039.png,3.041,10.05,3.304
ffhq_2053.png,2.5,10.05,4.02
ffhq_2063.png,4.528,9.0,1.988
ffhq_2072.png,3.5,11.045,3.156
ffhq_2073.png,2.55,9.0,3.53
ffhq_208.png,2.0,10.05,5.025
ffhq_2098.png,3.162,8.062,2.55
ffhq_2104.png,4.5,9.055,2.012
ffhq_210.png,3.0,10.0,3.333
ffhq_2117.png,1.5,9.0,6.0
ffhq_2135.png,2.062,6.083,2.951
ffhq_2146.png,2.5,9.0,3.6
ffhq_2149.png,3.0,9.0,3.0
ffhq_2162.png,3.5,9.0,2.571
ffhq_2168.png,3.041,9.0,2.959
ffhq_2180.png,3.041,9.055,2.977
ffhq_2184.png,2.0,10.0,5.0
ffhq_2187.png,2.55,9.055,3.552
ffhq_220.png,3.5,10.05,2.871
ffhq_2214.png,4.031,7.0,1.736
ffhq_2218.png,2.0,9.055,4.528
ffhq_2223.png,4.0,11.045,2.761
ffhq_2231.png,3.0,11.045,3.682
ffhq_2235.png,3.64,10.05,2.761
ffhq_2245.png,2.0,9.0,4.5
ffhq_2251.png,2.55,10.0,3.922
ffhq_2253.png,3.041,10.05,3.304
ffhq_2259.png,1.5,9.0,6.0
ffhq_2262.png,3.0,11.045,3.682
ffhq_2277.png,3.041,10.05,3.304
ffhq_1920.png,4.031,10.05,2.493
ffhq_1926.png,3.041,9.22,3.031
ffhq_1946.png,4.031,9.055,2.246
ffhq_194.png,1.0,9.0,9.0
ffhq_1961.png,4.0,8.0,2.0
ffhq_1975.png,2.062,6.083,2.951
ffhq_1978.png,2.0,10.05,5.025
ffhq_1988.png,1.0,7.28,7.28
ffhq_1998.png,2.5,10.0,4.0
ffhq_2003.png,3.0,10.0,3.333
ffhq_2005.png,2.5,10.05,4.02
ffhq_2008.png,2.0,9.0,4.5
ffhq_2010.png,6.021,12.166,2.021
ffhq_1819.png,3.041,10.0,3.288
ffhq_1827.png,2.5,10.0,4.0
ffhq_1848.png,3.5,10.05,2.871
ffhq_1851.png,3.0,10.0,3.333
