Image Name,Height,Width,Ratio
anger/9k_ (8)_face.png,10.44,32.757,3.138
anger/9k__face.png,9.124,37.336,4.092
anger/Z (4)_face.png,7.517,37.014,4.924
anger/Z (6)_face.png,10.5,45.044,4.29
anger/Z (7)_face.png,10.0,45.011,4.501
anger/Z_face.png,12.54,42.012,3.35
anger/images (12)_face.png,9.055,38.21,4.22
anger/images (14)_face.png,7.018,38.0,5.415
anger/images (16)_face.png,11.011,37.336,3.391
anger/images (23)_face.png,6.021,36.056,5.988
anger/images (25)_face.png,10.198,39.205,3.844
anger/images (26)_face.png,13.124,37.0,2.819
anger/images (29)_face.png,8.062,40.2,4.986
anger/images (36)_face.png,5.523,26.0,4.708
anger/images (37)_face.png,10.0,39.013,3.901
anger/images (38)_face.png,8.515,40.012,4.699
anger/images (42)_face.png,11.068,41.0,3.704
anger/images (43)_face.png,9.124,42.19,4.624
anger/images (45)_face.png,13.537,33.136,2.448
anger/images (47)_face.png,10.607,39.115,3.688
anger/images (52)_face.png,14.807,41.773,2.821
anger/images (55)_face.png,10.5,40.0,3.81
anger/images (60)_face.png,9.513,39.051,4.105
anger/images (63)_face.png,8.559,34.059,3.979
anger/images (64)_face.png,9.618,38.053,3.957
anger/images (68)_face.png,10.5,41.0,3.905
anger/images (71)_face.png,9.014,38.013,4.217
anger/images (72)_face.png,6.083,36.125,5.939
anger/images (74)_face.png,8.515,36.056,4.235
anger/images (77)_face.png,13.01,45.177,3.473
anger/images (78)_face.png,13.509,51.039,3.778
anger/images (80)_face.png,8.559,38.118,4.454
anger/images (85)_face.png,5.025,42.048,8.368
anger/images (90)_face.png,7.0,39.051,5.579
anger/images (92)_face.png,7.566,37.054,4.897
anger/images (95)_face.png,10.124,36.401,3.595
anger/images (98)_face.png,13.01,44.045,3.386
anger/images - 2020-11-05T231400.442_face.png,9.552,37.014,3.875
anger/images - 2020-11-05T231418.134_face.png,9.552,41.049,4.297
anger/images - 2020-11-05T231433.156_face.png,12.093,45.177,3.736
anger/images - 2020-11-05T231442.071_face.png,11.662,37.162,3.187
anger/images - 2020-11-05T231443.675_face.png,10.5,28.018,2.668
anger/images - 2020-11-06T000349.681_face.png,8.515,39.115,4.594
anger/images - 2020-11-06T000409.065_face.png,8.559,35.511,4.149
anger/images - 2020-11-06T000443.496_face.png,10.44,41.0,3.927
anger/images - 2020-11-06T001259.572_face.png,10.689,36.222,3.389
anger/images - 2020-11-06T001310.006_face.png,9.708,41.437,4.268
anger/images - 2020-11-06T002044.365_face.png,9.552,40.05,4.193
anger/images - 2020-11-06T002810.946_face.png,9.124,26.173,2.868
anger/images - 2020-11-06T002913.862_face.png,10.512,43.012,4.092
anger/images - 2020-11-06T002923.875_face.png,12.093,42.19,3.489
anger/images - 2020-11-06T002925.726_face.png,10.735,34.015,3.168
anger/images - 2020-11-06T002930.192_face.png,9.0,38.013,4.224
