Image Name,Height,Width,Ratio
ffhq_2027.png,1.0,16.0,16.0
ffhq_2032.png,6.0,22.023,3.67
ffhq_2037.png,4.123,22.0,5.336
ffhq_2039.png,1.0,17.0,17.0
ffhq_2053.png,2.0,21.024,10.512
ffhq_2063.png,1.0,16.031,16.031
ffhq_2072.png,1.414,19.105,13.509
ffhq_2073.png,1.414,13.038,9.22
ffhq_208.png,5.0,19.026,3.805
ffhq_2098.png,2.236,14.036,6.277
ffhq_2117.png,2.0,12.042,6.021
ffhq_2135.png,2.0,11.0,5.5
ffhq_2168.png,5.0,21.0,4.2
ffhq_2180.png,1.0,20.0,20.0
ffhq_2184.png,4.0,20.1,5.025
ffhq_2187.png,1.0,19.026,19.026
ffhq_220.png,4.123,17.0,4.123
ffhq_2214.png,4.0,18.0,4.5
ffhq_2218.png,3.0,20.0,6.667
ffhq_2223.png,3.162,16.031,5.07
ffhq_2231.png,5.0,23.087,4.617
ffhq_2235.png,3.0,15.0,5.0
ffhq_2245.png,2.0,14.0,7.0
ffhq_2259.png,5.0,22.023,4.405
ffhq_2262.png,1.0,22.091,22.091
ffhq_2277.png,5.0,19.0,3.8
ffhq_1920.png,3.162,21.024,6.648
ffhq_1926.png,1.0,15.0,15.0
ffhq_1946.png,4.0,13.0,3.25
ffhq_194.png,4.0,24.021,6.005
ffhq_1961.png,2.0,11.18,5.59
ffhq_1975.png,4.0,14.0,3.5
ffhq_1978.png,4.0,18.028,4.507
ffhq_1998.png,1.0,17.029,17.029
ffhq_2003.png,2.0,17.029,8.515
ffhq_2005.png,2.236,19.0,8.497
ffhq_2008.png,7.071,22.023,3.114
ffhq_2010.png,4.0,18.028,4.507
ffhq_1819.png,5.0,22.0,4.4
ffhq_1848.png,1.414,17.0,12.021
ffhq_1851.png,3.0,21.0,7.0
ffhq_1859.png,1.0,11.045,11.045
ffhq_1861.png,4.0,23.0,5.75
ffhq_1867.png,1.0,14.036,14.036
ffhq_1885.png,3.162,17.0,5.376
ffhq_1907.png,5.0,21.0,4.2
ffhq_173.png,4.0,19.0,4.75
ffhq_1742.png,2.0,15.033,7.517
ffhq_174.png,1.0,19.0,19.0
ffhq_1765.png,6.0,25.0,4.167
ffhq_1774.png,1.0,18.0,18.0
ffhq_1792.png,2.0,16.0,8.0
ffhq_1795.png,2.0,15.0,7.5
ffhq_179.png,2.0,10.0,5.0
ffhq_1806.png,2.0,15.033,7.517
ffhq_1461.png,5.099,23.0,4.511
ffhq_1468.png,1.0,19.105,19.105
ffhq_1469.png,3.0,17.029,5.676
ffhq_146.png,1.0,14.036,14.036
ffhq_154.png,5.0,17.117,3.423
ffhq_1473.png,3.0,18.111,6.037
ffhq_1483.png,3.162,15.0,4.743
ffhq_1485.png,3.0,22.0,7.333
ffhq_1489.png,2.0,11.045,5.523
ffhq_1513.png,2.0,11.0,5.5
ffhq_1518.png,3.0,19.026,6.342
ffhq_1525.png,3.0,19.026,6.342
ffhq_1550.png,1.0,18.0,18.0
ffhq_1554.png,3.0,14.0,4.667
ffhq_1559.png,1.414,18.028,12.748
ffhq_1571.png,4.0,18.028,4.507
ffhq_1574.png,5.0,22.0,4.4
ffhq_1577.png,3.162,17.029,5.385
ffhq_1579.png,2.0,15.0,7.5
ffhq_157.png,6.0,17.029,2.838
ffhq_158.png,1.0,19.026,19.026
ffhq_1590.png,2.0,17.029,8.515
ffhq_1599.png,4.123,12.0,2.91
ffhq_1609.png,4.123,21.024,5.099
ffhq_1620.png,1.0,20.025,20.025
ffhq_1621.png,4.123,9.055,2.196
ffhq_162.png,4.0,22.0,5.5
ffhq_163.png,4.123,22.0,5.336
ffhq_1648.png,3.0,10.0,3.333
ffhq_1654.png,6.0,22.023,3.67
ffhq_1667.png,3.0,24.021,8.007
ffhq_1670.png,2.0,15.033,7.517
ffhq_1707.png,4.0,23.0,5.75
ffhq_1712.png,2.0,17.0,8.5
ffhq_1723.png,4.0,19.026,4.757
ffhq_1724.png,6.0,24.021,4.003
ffhq_1729.png,1.0,14.036,14.036
ffhq_1730.png,1.0,16.031,16.031
ffhq_1188.png,1.0,20.0,20.0
ffhq_1192.png,1.0,17.029,17.029
ffhq_1196.png,5.0,17.029,3.406
ffhq_1210.png,3.162,22.023,6.964
ffhq_1215.png,1.0,18.0,18.0
ffhq_1216.png,3.0,20.0,6.667
ffhq_1222.png,3.0,18.0,6.0
ffhq_123.png,5.0,16.0,3.2
ffhq_1240.png,4.0,21.0,5.25
ffhq_1244.png,3.0,26.0,8.667
ffhq_1253.png,1.0,16.0,16.0
ffhq_1279.png,7.0,26.0,3.714
ffhq_127.png,4.0,23.022,5.755
ffhq_1285.png,2.236,13.153,5.882
ffhq_1289.png,5.099,25.0,4.903
ffhq_128.png,3.0,21.0,7.0
ffhq_129.png,1.414,12.042,8.515
ffhq_1307.png,2.236,16.031,7.169
ffhq_130.png,4.123,24.021,5.826
ffhq_1310.png,5.099,24.021,4.711
ffhq_131.png,2.0,20.0,10.0
ffhq_1361.png,2.0,16.0,8.0
ffhq_136.png,1.0,18.028,18.028
ffhq_1372.png,2.236,22.0,9.839
ffhq_1382.png,4.0,23.022,5.755
ffhq_1385.png,5.099,21.024,4.123
ffhq_1388.png,1.0,17.0,17.0
ffhq_1390.png,2.236,15.033,6.723
ffhq_1395.png,4.0,25.0,6.25
ffhq_139.png,4.0,16.031,4.008
ffhq_1406.png,1.0,16.031,16.031
ffhq_1419.png,1.0,16.0,16.0
ffhq_1434.png,4.0,17.029,4.257
ffhq_1448.png,1.0,19.0,19.0
ffhq_1184.png,1.0,16.0,16.0
ffhq_227.png,3.0,14.036,4.679
ffhq_2290.png,5.099,21.024,4.123
ffhq_2298.png,5.0,21.095,4.219
ffhq_2303.png,1.0,16.0,16.0
ffhq_2306.png,2.0,14.036,7.018
ffhq_2315.png,2.0,12.042,6.021
ffhq_231.png,1.0,17.0,17.0
