image_path,annotated_path,label,norm_x,norm_y,eye_x,eye_y,eye_w,eye_h,pupil_x,pupil_y,kmeans_label
colds_repositioned_images/ffhq_1049.png,Pupil_annotated_images/ffhq_1049.png,top,0.2727272727272727,0.0,55,41,11,4,3,0,4
colds_repositioned_images/ffhq_1078.png,Pupil_annotated_images/ffhq_1078.png,top,0.2727272727272727,0.0,55,45,11,2,3,0,4
colds_repositioned_images/ffhq_1081.png,Pupil_annotated_images/ffhq_1081.png,top,0.5384615384615384,0.25,56,45,13,4,7,1,3
colds_repositioned_images/ffhq_1101.png,Pupil_annotated_images/ffhq_1101.png,top,0.3333333333333333,0.0,55,44,12,3,4,0,4
colds_repositioned_images/ffhq_1102.png,Pupil_annotated_images/ffhq_1102.png,top,0.36363636363636365,0.25,59,40,11,4,4,1,0
colds_repositioned_images/ffhq_1285.png,Pupil_annotated_images/ffhq_1285.png,top,0.7272727272727273,0.0,60,43,11,3,8,0,1
colds_repositioned_images/ffhq_1382.png,Pupil_annotated_images/ffhq_1382.png,top,0.2727272727272727,0.0,55,41,11,4,3,0,4
colds_repositioned_images/ffhq_1454.png,Pupil_annotated_images/ffhq_1454.png,left,0.15384615384615385,0.25,56,42,13,4,2,1,2
colds_repositioned_images/ffhq_1554.png,Pupil_annotated_images/ffhq_1554.png,top,0.7777777777777778,0.0,49,45,9,4,7,0,1
colds_repositioned_images/ffhq_174.png,Pupil_annotated_images/ffhq_174.png,left,0.1,0.25,52,39,10,4,1,1,2
colds_repositioned_images/ffhq_1765.png,Pupil_annotated_images/ffhq_1765.png,top,0.6,0.0,55,43,10,3,6,0,1
colds_repositioned_images/ffhq_1851.png,Pupil_annotated_images/ffhq_1851.png,top,0.36363636363636365,0.3333333333333333,50,47,11,3,4,1,0
colds_repositioned_images/ffhq_2027.png,Pupil_annotated_images/ffhq_2027.png,top,0.375,0.0,52,44,8,3,3,0,4
colds_repositioned_images/ffhq_2104.png,Pupil_annotated_images/ffhq_2104.png,top,0.23076923076923078,0.2,58,41,13,5,3,1,2
colds_repositioned_images/ffhq_210.png,Pupil_annotated_images/ffhq_210.png,top,0.75,0.0,49,42,8,4,6,0,1
colds_repositioned_images/ffhq_2168.png,Pupil_annotated_images/ffhq_2168.png,top,0.6666666666666666,0.25,54,43,9,4,6,1,3
colds_repositioned_images/ffhq_2184.png,Pupil_annotated_images/ffhq_2184.png,top,0.4166666666666667,0.25,55,41,12,4,5,1,0
colds_repositioned_images/ffhq_2231.png,Pupil_annotated_images/ffhq_2231.png,top,0.1,0.0,51,37,10,4,1,0,2
colds_repositioned_images/ffhq_2235.png,Pupil_annotated_images/ffhq_2235.png,top,0.6666666666666666,0.0,56,41,12,4,8,0,1
colds_repositioned_images/ffhq_2290.png,Pupil_annotated_images/ffhq_2290.png,top,0.6363636363636364,0.25,56,42,11,4,7,1,3
colds_repositioned_images/ffhq_2376.png,Pupil_annotated_images/ffhq_2376.png,top,0.45454545454545453,0.0,54,46,11,4,5,0,4
colds_repositioned_images/ffhq_2377.png,Pupil_annotated_images/ffhq_2377.png,top,0.4,0.0,56,44,10,3,4,0,4
colds_repositioned_images/ffhq_2452.png,Pupil_annotated_images/ffhq_2452.png,left,0.2,0.3333333333333333,53,42,10,3,2,1,0
colds_repositioned_images/ffhq_2488.png,Pupil_annotated_images/ffhq_2488.png,top,0.3333333333333333,0.25,57,42,12,4,4,1,0
colds_repositioned_images/ffhq_2503.png,Pupil_annotated_images/ffhq_2503.png,top,0.45454545454545453,0.3333333333333333,56,45,11,3,5,1,0
colds_repositioned_images/ffhq_2625.png,Pupil_annotated_images/ffhq_2625.png,top,0.36363636363636365,0.0,56,42,11,5,4,0,4
colds_repositioned_images/ffhq_2900.png,Pupil_annotated_images/ffhq_2900.png,top,0.5,0.0,54,47,10,3,5,0,4
colds_repositioned_images/ffhq_2989.png,Pupil_annotated_images/ffhq_2989.png,top,0.36363636363636365,0.0,57,41,11,5,4,0,4
colds_repositioned_images/ffhq_3022.png,Pupil_annotated_images/ffhq_3022.png,top,0.5833333333333334,0.0,55,42,12,6,7,0,1
colds_repositioned_images/ffhq_3228.png,Pupil_annotated_images/ffhq_3228.png,top,0.4,0.3333333333333333,56,42,10,3,4,1,0
colds_repositioned_images/ffhq_3536.png,Pupil_annotated_images/ffhq_3536.png,top,0.4166666666666667,0.25,56,43,12,4,5,1,0
colds_repositioned_images/ffhq_3555.png,Pupil_annotated_images/ffhq_3555.png,top,0.7,0.25,51,47,10,4,7,1,3
colds_repositioned_images/ffhq_3563.png,Pupil_annotated_images/ffhq_3563.png,top,0.45454545454545453,0.3333333333333333,55,42,11,3,5,1,0
colds_repositioned_images/ffhq_3630.png,Pupil_annotated_images/ffhq_3630.png,top,0.4,0.0,56,41,10,4,4,0,4
colds_repositioned_images/ffhq_3721.png,Pupil_annotated_images/ffhq_3721.png,top,0.2727272727272727,0.25,55,43,11,4,3,1,0
colds_repositioned_images/ffhq_3758.png,Pupil_annotated_images/ffhq_3758.png,top,0.8181818181818182,0.0,55,40,11,5,9,0,1
colds_repositioned_images/ffhq_3794.png,Pupil_annotated_images/ffhq_3794.png,top,0.3333333333333333,0.0,50,41,9,3,3,0,4
colds_repositioned_images/ffhq_3826.png,Pupil_annotated_images/ffhq_3826.png,left,0.2222222222222222,0.25,49,40,9,4,2,1,2
colds_repositioned_images/ffhq_3892.png,Pupil_annotated_images/ffhq_3892.png,top,0.36363636363636365,0.0,55,41,11,5,4,0,4
colds_repositioned_images/ffhq_4052.png,Pupil_annotated_images/ffhq_4052.png,left,0.2,0.25,52,40,10,4,2,1,2
colds_repositioned_images/ffhq_4071.png,Pupil_annotated_images/ffhq_4071.png,top,0.1,0.0,56,40,10,5,1,0,2
colds_repositioned_images/ffhq_4085.png,Pupil_annotated_images/ffhq_4085.png,top,0.2222222222222222,0.0,51,41,9,5,2,0,2
colds_repositioned_images/ffhq_4114.png,Pupil_annotated_images/ffhq_4114.png,left,0.2222222222222222,0.25,50,41,9,4,2,1,2
colds_repositioned_images/ffhq_4115.png,Pupil_annotated_images/ffhq_4115.png,top,0.3,0.0,54,44,10,3,3,0,4
colds_repositioned_images/ffhq_4211.png,Pupil_annotated_images/ffhq_4211.png,top,0.5,0.3333333333333333,54,45,10,3,5,1,0
colds_repositioned_images/ffhq_4244.png,Pupil_annotated_images/ffhq_4244.png,left,0.2,0.3333333333333333,57,45,10,3,2,1,0
colds_repositioned_images/ffhq_4269.png,Pupil_annotated_images/ffhq_4269.png,left,0.25,0.25,56,39,12,4,3,1,0
colds_repositioned_images/ffhq_4397.png,Pupil_annotated_images/ffhq_4397.png,top,0.4,0.0,55,41,10,5,4,0,4
colds_repositioned_images/ffhq_4398.png,Pupil_annotated_images/ffhq_4398.png,top,0.6363636363636364,0.0,56,33,11,3,7,0,1
colds_repositioned_images/ffhq_4473.png,Pupil_annotated_images/ffhq_4473.png,top,0.2,0.0,55,47,10,4,2,0,2
colds_repositioned_images/ffhq_4533.png,Pupil_annotated_images/ffhq_4533.png,top,0.6363636363636364,0.25,55,42,11,4,7,1,3
colds_repositioned_images/ffhq_4765.png,Pupil_annotated_images/ffhq_4765.png,top,0.5,0.2,54,44,10,5,5,1,0
colds_repositioned_images/ffhq_5030.png,Pupil_annotated_images/ffhq_5030.png,top,0.2,0.0,56,46,10,2,2,0,2
colds_repositioned_images/ffhq_5364.png,Pupil_annotated_images/ffhq_5364.png,right,0.8,0.25,53,41,10,4,8,1,3
colds_repositioned_images/ffhq_543.png,Pupil_annotated_images/ffhq_543.png,top,0.6,0.25,55,40,10,4,6,1,3
colds_repositioned_images/ffhq_609.png,Pupil_annotated_images/ffhq_609.png,left,0.25,0.4,56,44,12,5,3,2,0
colds_repositioned_images/ffhq_705.png,Pupil_annotated_images/ffhq_705.png,left,0.2,0.25,54,40,10,4,2,1,2
colds_repositioned_images/ffhq_923.png,Pupil_annotated_images/ffhq_923.png,top,0.36363636363636365,0.16666666666666666,56,44,11,6,4,1,0
colds_repositioned_images/ffhq_96.png,Pupil_annotated_images/ffhq_96.png,left,0.1111111111111111,0.25,55,46,9,4,1,1,2
colds_repositioned_images/ffhq_970.png,Pupil_annotated_images/ffhq_970.png,top,0.3333333333333333,0.0,58,43,12,5,4,0,4
colds_repositioned_images/image0000118.jpg,Pupil_annotated_images/image0000118.jpg,top,0.46153846153846156,0.25,61,43,13,4,6,1,0
